08Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Justin Abdelkader\abdelju01,20,DET,LW,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,6,0.0,24,12:13,0,5,5,7,41.7
2,Craig Adams\adamscr01,30,TOT,RW,75,4,7,11,-16,58,-0.6,3,0,1,1,7,0,0,63,6.3,810,10:48,43,117,19,22,46.3
2,Craig Adams\adamscr01,30,CAR,RW,40,2,3,5,-8,34,-0.3,2,0,0,0,3,0,0,31,6.5,392,9:48,20,67,3,8,27.3
2,Craig Adams\adamscr01,30,CHI,RW,35,2,4,6,-8,24,-0.2,1,0,1,1,4,0,0,32,6.3,418,11:56,23,50,16,14,53.3
3,Kevyn Adams\adamske01,33,CHI,C,27,0,2,2,-7,13,-0.6,0,0,0,0,0,0,2,32,0.0,295,10:56,11,13,103,104,49.8
4,Maxim Afinogenov\afinoma01,28,BUF,RW,56,10,18,28,-16,42,1.6,9,1,0,1,13,5,0,114,8.8,899,16:03,6,25,1,4,20.0
5,Andrew Alberts\alberan01,26,BOS,D,35,0,2,2,4,39,1.2,0,0,0,0,2,0,0,25,0.0,722,20:37,52,53,1,1,50.0
6,Daniel Alfredsson\alfreda01,35,OTT,RW,70,40,49,89,15,34,11.5,24,9,7,5,31,16,2,217,18.4,1560,22:17,30,55,21,18,53.8
7,Bobby Allen\allenbo01,29,BOS,D,19,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,10,0.0,188,9:53,6,15,0,0,
8,Bryan Allen\allenbr01,27,FLA,D,73,2,14,16,5,67,3.9,2,0,0,0,11,2,1,67,3.0,1554,21:17,119,112,0,0,
9,Nik Antropov\antroni01,27,TOR,C,72,26,30,56,10,92,6.5,14,12,0,5,25,4,1,165,15.8,1448,20:07,51,102,114,157,42.1
10,Colby Armstrong\armstco01,25,TOT,RW,72,13,22,35,4,56,3.2,12,1,0,3,20,1,1,113,11.5,1157,16:04,31,85,3,12,20.0
10,Colby Armstrong\armstco01,25,PIT,RW,54,9,15,24,6,50,2.2,9,0,0,2,13,1,1,84,10.7,832,15:24,23,69,3,9,25.0
10,Colby Armstrong\armstco01,25,ATL,RW,18,4,7,11,-2,6,1.0,3,1,0,1,7,0,0,29,13.8,325,18:02,8,16,0,3,0.0
11,Derek Armstrong\armstde01,34,LAK,C,77,8,27,35,4,63,3.0,7,1,0,2,20,7,0,118,6.8,1023,13:17,29,106,379,370,50.6
12,Tyler Arnason\arnasty01,28,COL,C,70,10,21,31,-1,16,2.4,7,3,0,1,14,7,0,179,5.6,1068,15:16,17,6,375,417,47.3
13,Jason Arnott\arnotja01,33,NSH,C,79,28,44,72,19,54,8.8,15,13,0,3,35,9,0,248,11.3,1500,18:59,23,42,614,646,48.7
14,Arron Asham\ashamar01,29,NJD,RW,77,6,4,10,-6,84,0.5,6,0,0,2,3,1,0,68,8.8,659,8:33,5,87,0,3,0.0
15,Adrian Aucoin\aucoiad01,34,CGY,D,76,10,25,35,13,37,7.3,5,5,0,1,10,15,0,121,8.3,1593,20:58,55,69,0,0,
16,Keith Aucoin\aucoike01,29,CAR,RW,38,5,8,13,3,10,1.1,5,0,0,0,7,1,0,65,7.7,511,13:28,8,34,124,203,37.9
17,Sean Avery\averyse01,27,NYR,LW,57,15,18,33,6,154,4.0,13,2,0,4,15,2,1,125,12.0,903,15:50,11,119,11,17,39.3
18,P.J. Axelsson\axelspj01,32,BOS,LW,75,13,16,29,11,15,2.7,11,0,2,2,14,0,2,100,13.0,1320,17:36,37,44,17,27,38.6
19,David Backes\backeda01,23,STL,RW,72,13,18,31,-11,99,2.6,10,3,0,2,14,4,0,129,10.1,1057,14:41,13,240,30,37,44.8
20,Christian Backman\backmch01,27,TOT,D,63,3,15,18,-2,50,3.6,2,1,0,0,11,4,0,51,5.9,1210,19:13,51,34,0,0,
20,Christian Backman\backmch01,27,STL,D,45,1,9,10,-4,30,1.9,1,0,0,0,7,2,0,30,3.3,872,19:22,38,18,0,0,
20,Christian Backman\backmch01,27,NYR,D,18,2,6,8,2,20,1.7,1,1,0,0,4,2,0,21,9.5,339,18:49,13,16,0,0,
21,Nicklas Backstrom\backsni02,20,WSH,C,82,14,55,69,13,24,6.8,11,3,0,4,33,22,0,153,9.2,1557,19:00,34,34,405,469,46.3
22,Keith Ballard\ballake01,25,PHX,D,82,6,15,21,7,85,5.5,3,2,1,1,13,2,0,105,5.7,1744,21:16,162,169,0,0,
23,Ivan Baranka\baraniv01,22,NYR,D,1,0,1,1,1,0,0.2,0,0,0,0,1,0,0,1,0.0,13,12:44,1,1,0,0,
24,Krys Barch\barchkr01,27,DAL,RW,48,1,2,3,-3,105,-0.2,1,0,0,0,2,0,0,23,4.3,312,6:30,6,72,0,2,0.0
25,Cam Barker\barkeca01,21,CHI,D,45,6,12,18,-3,52,2.9,4,2,0,0,10,2,0,42,14.3,774,17:12,33,46,0,0,
26,Stu Barnes\barnest01,37,DAL,C,79,12,11,23,-3,26,1.9,10,0,2,4,7,0,4,71,16.9,1076,13:38,25,14,343,284,54.7
27,Cody Bass\bassco01,21,OTT,C,21,2,2,4,-1,19,0.4,1,0,1,1,1,0,1,12,16.7,112,5:19,7,19,31,41,43.1
28,Shawn Bates\batessh01,32,NYI,C,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,14,7:00,1,2,1,3,25.0
29,Bates Battaglia\battaba01,32,TOR,LW,13,0,0,0,-6,7,-0.4,0,0,0,0,0,0,0,6,0.0,62,4:46,0,1,0,1,0.0
30,Ryan Bayda\baydary01,27,CAR,LW,31,3,3,6,-2,28,0.1,3,0,0,0,3,0,0,58,5.2,391,12:36,2,38,0,2,0.0
31,Francois Beauchemin\beaucfr01,27,ANA,D,82,2,19,21,-9,59,4.5,2,0,0,2,11,7,1,144,1.4,2093,25:32,71,97,0,1,0.0
32,Kris Beech\beechkr01,26,TOT,C,25,6,5,11,3,4,1.5,4,2,0,0,4,1,0,36,16.7,288,11:30,3,33,144,132,52.2
32,Kris Beech\beechkr01,26,CBJ,C,16,5,4,9,3,2,1.4,3,2,0,0,3,1,0,24,20.8,208,13:00,3,22,109,96,53.2
32,Kris Beech\beechkr01,26,PIT,C,5,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,6,0.0,41,8:14,0,8,17,17,50.0
32,Kris Beech\beechkr01,26,VAN,C,4,1,1,2,1,0,0.3,1,0,0,0,1,0,0,6,16.7,38,9:37,0,3,18,19,48.6
33,Steve Begin\beginst01,29,MTL,LW,44,3,5,8,0,48,0.2,3,0,0,0,5,0,0,67,4.5,512,11:38,27,119,24,45,34.8
34,Wade Belak\belakwa01,31,TOT,RW,47,1,0,1,-2,78,-0.2,1,0,0,0,0,0,0,17,5.9,192,4:05,5,41,0,1,0.0
34,Wade Belak\belakwa01,31,TOR,RW,30,1,0,1,-2,66,-0.1,1,0,0,0,0,0,0,13,7.7,121,4:02,4,28,0,1,0.0
34,Wade Belak\belakwa01,31,FLA,RW,17,0,0,0,0,12,-0.1,0,0,0,0,0,0,0,4,0.0,71,4:09,1,13,0,0,
35,Eric Belanger\belaner01,30,MIN,C,75,13,24,37,-6,30,2.9,5,7,1,3,17,7,0,115,11.3,1291,17:13,46,51,587,608,49.1
36,Brendan Bell\bellbr02,24,PHX,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,30,14:49,2,0,0,0,
37,Mark Bell\bellma01,27,TOR,LW,35,4,6,10,-2,60,0.8,4,0,0,0,6,0,0,42,9.5,341,9:45,9,28,74,105,41.3
