Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
1,Justin Abdelkader\abdelju01,23,DET,LW,74,765,628,54.9,-0.4,599,478,55.6,0.7,8.3,93.6,101.9,58.8,41.2,12:18,10:26,17,20,226,57.1
2,Luke Adam\adamlu01,20,BUF,LW,19,153,201,43.2,-6.0,118,156,43.1,-8.0,4.5,92.6,97.1,53.6,46.4,11:13,9:37,2,7,50,62.0
3,Craig Adams\adamscr01,33,PIT,RW,80,565,647,46.6,-7.8,424,460,48.0,-6.0,5.6,91.1,96.8,49.4,50.6,12:11,9:05,24,15,138,65.2
4,Andrew Alberts\alberan01,29,VAN,D,42,470,532,46.9,-7.3,322,377,46.1,-8.0,9.3,92.1,101.4,40.6,59.4,15:08,13:20,7,19,53,39.6
5,Daniel Alfredsson\alfreda01,38,OTT,RW,54,655,702,48.3,-2.5,484,541,47.2,-2.9,8.2,88.1,96.3,52.8,47.2,19:17,14:11,45,46,187,51.3
6,Bryan Allen\allenbr01,30,TOT,D,72,1083,1164,48.2,-3.6,793,877,47.5,-3.7,9.6,91.2,100.8,44.8,55.2,18:19,15:59,24,27,143,40.6
7,Cody Almond\almonco01,21,MIN,C,8,28,55,33.7,-10.0,24,35,40.7,-3.4,8.3,95.7,104.0,29.6,70.4,7:02,6:54,1,1,5,60.0
8,Karl Alzner\alzneka01,22,WSH,D,82,1339,1241,51.9,0.4,955,900,51.5,0.3,8.5,93.2,101.7,49.6,50.4,19:47,17:17,24,40,140,45.7
9,Jonas Andersson\anderjo02,29,VAN,RW,4,14,17,45.2,-13.9,9,9,50.0,-8.7,14.3,100.0,114.3,100.0,0.0,6:03,6:03,0,0,2,50.0
10,Artem Anisimov\anisiar01,22,NYR,C,82,997,981,50.4,-0.7,756,725,51.0,-1.7,8.9,91.5,100.4,50.0,50.0,16:12,13:16,46,16,335,56.7
11,Nik Antropov\antroni01,30,ATL,C,76,840,942,47.1,-5.7,636,690,48.0,-6.4,7.6,91.1,98.7,49.6,50.4,15:28,12:55,35,31,182,57.7
12,Colby Armstrong\armstco01,28,TOR,RW,50,619,653,48.7,-1.2,430,484,47.0,-2.5,10.2,90.7,100.9,46.4,53.6,16:07,13:40,34,19,124,55.6
13,Jamie Arniel\arnieja01,21,BOS,C,1,16,11,59.3,,14,9,60.9,,0.0,80.0,80.0,55.6,44.4,12:26,11:55,0,0,3,100.0
14,Jason Arnott\arnotja01,36,TOT,C,73,895,757,54.2,2.5,672,584,53.5,1.4,6.6,91.4,97.9,54.6,45.4,15:31,13:11,30,21,288,58.7
15,Arron Asham\ashamar01,32,PIT,RW,44,337,368,47.8,-6.8,260,269,49.1,-5.7,7.5,92.1,99.5,58.1,41.9,9:33,9:32,7,8,81,74.1
16,Adrian Aucoin\aucoiad01,37,PHX,D,75,1258,1250,50.2,-1.0,939,986,48.8,-1.3,9.9,92.5,102.4,45.5,54.5,21:40,17:49,26,22,233,42.5
17,Keith Aucoin\aucoike01,32,WSH,C,1,11,9,55.0,5.0,8,6,57.1,7.1,0.0,100.0,100.0,,,11:47,5:53,0,0,0,
18,Keith Aulie\aulieke01,21,TOR,D,40,550,776,41.5,-7.2,403,568,41.5,-7.6,8.5,93.8,102.3,43.4,56.6,19:08,16:50,5,46,76,42.1
19,Sean Avery\averyse01,30,NYR,C,76,757,767,49.7,-2.2,577,547,51.3,-2.2,6.4,92.6,99.0,52.3,47.7,11:14,10:44,19,19,227,60.4
20,Anton Babchuk\babchan01,26,TOT,D,82,1100,1036,51.5,-0.4,802,707,53.1,1.8,8.9,92.1,101.0,61.8,38.2,16:07,12:54,19,42,308,42.9
21,David Backes\backeda01,26,STL,RW,82,1270,1073,54.2,3.3,969,805,54.6,3.6,11.1,91.8,103.0,50.8,49.2,19:42,15:16,47,23,360,58.3
22,Mikael Backlund\backlmi01,21,CGY,C,73,793,604,56.8,6.6,597,440,57.6,7.3,7.5,91.2,98.7,53.5,46.5,12:05,10:29,37,26,240,60.0
23,Nicklas Backstrom\backsni02,23,WSH,C,77,1339,1110,54.7,3.3,956,798,54.5,3.7,8.9,93.3,102.2,50.8,49.2,20:22,15:35,73,42,345,57.4
24,Drew Bagnall\bagnadr01,27,MIN,D,2,13,22,37.1,-18.8,8,17,32.0,-20.4,0.0,80.0,80.0,40.0,60.0,13:01,12:13,0,0,2,50.0
25,Josh Bailey\bailejo01,21,NYI,C,70,796,932,46.1,-3.0,572,683,45.6,-3.6,7.6,90.0,97.6,43.0,57.0,17:50,13:05,72,44,162,63.0
26,Keith Ballard\ballake01,28,VAN,D,65,802,863,48.2,-5.4,583,627,48.2,-5.4,7.3,94.9,102.2,44.7,55.3,15:54,14:03,9,28,136,39.0
27,Krys Barch\barchkr01,30,DAL,RW,44,149,207,41.9,-6.9,110,164,40.1,-8.3,4.2,91.1,95.2,63.7,36.3,5:13,5:06,3,12,23,69.6
28,Cam Barker\barkeca01,24,MIN,D,52,542,708,43.4,-2.5,422,548,43.5,-3.3,7.5,92.4,99.9,51.0,49.0,16:24,14:11,6,5,109,40.4
29,Matt Bartkowski\bartkma01,22,BOS,D,6,48,57,45.7,-6.0,31,45,40.8,-8.7,4.5,94.4,99.0,55.6,44.4,9:12,8:44,0,1,8,25.0
30,Oskars Bartulis\bartuos01,24,PHI,D,13,135,187,41.9,-8.6,104,145,41.8,-8.2,3.6,93.2,96.8,41.7,58.3,13:01,12:53,3,2,19,36.8
31,Cody Bass\bassco01,24,OTT,C,1,5,6,45.5,,4,4,50.0,,0.0,100.0,100.0,66.7,33.3,7:09,7:09,0,0,0,
32,Jay Beagle\beaglja01,25,WSH,C,31,213,248,46.2,-4.7,136,181,42.9,-7.2,7.3,93.1,100.4,43.0,57.0,10:30,9:16,10,1,53,50.9
33,Francois Beauchemin\beaucfr01,30,TOT,D,81,1336,1440,48.1,-1.6,958,1035,48.1,-1.5,9.2,90.4,99.6,51.1,48.9,23:04,18:33,34,90,247,42.9
34,Steve Begin\beginst01,32,NSH,C,2,10,16,38.5,-16.4,10,14,41.7,-11.4,0.0,81.8,81.8,57.1,42.9,9:49,9:49,1,0,3,66.7
35,Wade Belak\belakwa01,34,NSH,D,15,35,62,36.1,-19.5,30,46,39.5,-12.9,0.0,97.1,97.1,48.1,51.9,3:47,3:47,0,5,5,80.0
36,Eric Belanger\belaner01,33,PHX,C,82,1143,1059,51.9,1.3,858,814,51.3,2.2,9.7,92.2,101.9,46.5,53.5,17:20,14:03,45,29,248,51.2
37,Matt Beleskey\belesma01,22,ANA,LW,35,334,491,40.5,-5.8,258,384,40.2,-7.0,8.3,90.6,98.9,53.2,46.8,12:59,12:08,7,10,94,61.7
38,Shawn Belle\bellesh01,26,TOT,D,9,106,137,43.6,-1.0,71,111,39.0,-0.9,10.4,92.2,102.6,36.7,63.3,17:09,15:29,2,8,15,53.3
39,Jamie Benn\bennja01,21,DAL,LW,69,874,896,49.4,0.1,645,676,48.8,-0.9,10.3,89.8,100.1,59.1,40.9,17:60,13:57,66,33,325,54.2
40,Andre Benoit\benoian01,27,OTT,D,8,105,113,48.2,1.9,83,80,50.9,4.2,4.5,92.5,97.0,48.2,51.8,16:50,14:54,3,3,27,63.0
41,Sean Bergenheim\bergese01,26,TBL,LW,80,975,772,55.8,4.9,736,563,56.7,4.0,6.7,91.0,97.7,45.4,54.6,13:59,11:31,45,24,304,59.2
42,Marc-Andre Bergeron\bergema02,30,TBL,D,23,305,204,59.9,7.4,224,142,61.2,7.8,5.2,86.5,91.7,71.0,29.0,14:19,10:51,5,15,88,42.0
43,Patrice Bergeron\bergepa01,25,BOS,C,80,1152,972,54.2,3.3,827,717,53.6,2.7,9.5,92.4,101.9,42.9,57.1,17:53,13:06,49,24,365,57.8
44,Niclas Bergfors\bergfni01,23,TOT,RW,72,962,876,52.3,3.6,718,665,51.9,1.9,6.9,91.1,98.0,48.2,51.8,14:45,13:02,48,14,246,61.8
45,Patrik Berglund\berglpa01,22,STL,C,81,1136,927,55.1,2.8,834,697,54.5,1.8,8.7,89.3,97.9,60.0,40.0,17:11,13:48,28,19,314,55.7
46,Steve Bernier\bernist01,25,FLA,RW,68,624,697,47.2,-4.0,460,527,46.6,-4.8,5.8,91.3,97.1,53.6,46.4,13:02,10:48,22,14,162,59.9
47,Todd Bertuzzi\bertuto01,35,DET,RW,81,1102,1080,50.5,-5.9,850,861,49.7,-5.9,8.8,90.3,99.1,51.0,49.0,15:57,14:21,30,46,239,57.7
48,Blair Betts\bettsbl01,30,PHI,C,75,340,494,40.8,-11.9,243,330,42.4,-10.6,7.3,91.6,98.9,26.6,73.4,10:27,6:47,18,8,84,60.7
49,Bryan Bickell\bickebr01,24,CHI,LW,78,825,923,47.2,-9.6,614,685,47.3,-10.2,10.4,91.7,102.1,44.8,55.2,13:50,12:55,34,7,219,59.4
50,Kevin Bieksa\biekske01,29,VAN,D,66,1178,1042,53.1,0.5,903,787,53.4,1.9,9.4,94.4,103.8,45.5,54.5,22:27,17:56,50,41,223,47.1
51,Paul Bissonnette\bissopa01,25,PHX,LW,48,198,205,49.1,-1.8,147,159,48.0,-2.2,7.0,98.1,105.0,63.4,36.6,5:15,5:14,2,4,38,47.4
52,Jason Blake\blakeja01,37,ANA,C,76,857,1011,45.9,1.7,652,777,45.6,0.6,7.8,92.3,100.0,52.8,47.2,14:46,13:14,34,36,286,65.4
53,Mario Bliznak\bliznma01,23,VAN,C,4,9,29,23.7,,8,22,26.7,,40.0,93.3,133.3,41.7,58.3,6:37,5:53,2,0,3,33.3
54,Jonathon Blum\blumjo02,22,NSH,D,23,273,353,43.6,-3.2,205,251,45.0,-1.5,13.8,91.8,105.6,49.8,50.2,17:45,15:53,14,11,40,45.0
55,Mike Blunden\blundmi01,24,CBJ,RW,1,10,15,40.0,-19.4,7,13,35.0,-19.2,0.0,90.0,90.0,62.5,37.5,10:31,10:31,0,0,4,50.0
56,Troy Bodie\bodietr01,26,TOT,RW,59,377,407,48.1,-0.9,280,304,47.9,-0.2,3.6,93.3,96.9,44.0,56.0,6:50,6:24,12,5,83,53.0
57,Mikkel Boedker\boedkmi01,21,PHX,LW,34,312,286,52.2,3.5,228,231,49.7,0.9,10.6,97.1,107.7,56.1,43.9,10:54,9:37,7,3,76,51.3
58,Zach Bogosian\bogosza01,20,ATL,D,71,1136,1273,47.2,-6.7,871,937,48.2,-7.6,5.8,91.5,97.2,47.9,52.1,22:07,18:11,31,53,300,50.7
59,Alexandre Bolduc\boldual01,25,VAN,C,24,114,173,39.7,-17.7,91,125,42.1,-14.7,8.3,94.1,102.5,30.0,70.0,7:26,6:49,4,2,29,72.4
60,Jared Boll\bollja01,24,CBJ,RW,73,504,457,52.4,1.2,380,339,52.9,1.0,8.3,90.6,98.9,58.7,41.3,7:40,7:36,14,8,107,60.7
61,Dave Bolland\bollada01,24,CHI,C,61,690,739,48.3,-7.0,539,547,49.6,-6.0,9.9,92.9,102.9,33.5,66.5,17:39,13:27,55,22,179,57.0
62,Nick Bonino\boninni01,22,ANA,C,26,179,237,43.0,-2.6,146,191,43.3,-2.0,3.7,94.1,97.8,61.2,38.8,9:48,9:27,10,4,41,56.1
63,Derek Boogaard\boogade01,28,NYR,LW,22,71,96,42.5,-9.7,52,71,42.3,-10.6,8.6,94.2,102.8,61.5,38.5,4:33,4:32,0,1,9,44.4
64,David Booth\boothda01,26,FLA,LW,82,1340,1255,51.6,2.7,993,963,50.8,2.1,7.0,89.0,95.9,49.8,50.2,18:54,15:53,28,24,485,57.5
65,Pierre-Marc Bouchard\bouchpi02,26,MIN,C,59,715,714,50.0,6.4,540,547,49.7,6.4,10.2,89.9,100.1,50.1,49.9,15:43,12:56,26,20,172,57.0
66,Francis Bouillon\bouilfr01,35,NSH,D,44,611,709,46.3,-8.6,457,540,45.8,-6.7,10.2,91.1,101.3,43.4,56.6,20:14,17:33,13,24,108,43.5
67,Eric Boulton\boulter01,34,ATL,LW,69,461,545,45.8,-6.5,356,390,47.7,-5.7,7.2,93.8,100.9,50.4,49.6,8:51,8:45,11,14,85,60.0
68,Lance Bouma\boumala01,20,CGY,C,16,94,77,55.0,1.5,60,51,54.1,1.5,4.9,92.5,97.4,58.0,42.0,5:52,5:52,2,3,17,52.9
