Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
1,Justin Abdelkader\abdelju01,27,DET,LW,71,909,704,56.4,4.0,668,540,55.3,4.1,9.7,90.5,100.2,63.6,36.4,17:55,14:10,16,29,9.7,237,65.0
2,Will Acton\actonwi01,27,EDM,C,3,21,26,44.7,-9.8,16,14,53.3,1.9,11.1,70.0,81.1,10.5,89.5,10:43,9:21,2,0,-0.2,3,66.7
3,Luke Adam\adamlu01,24,CBJ,C,3,11,9,55.0,8.7,5,8,38.5,-8.0,0.0,100.0,100.0,30.0,70.0,6:27,6:21,0,0,-0.7,1,0.0
4,Craig Adams\adamscr01,37,PIT,RW,70,363,396,47.8,-6.3,268,292,47.9,-6.6,5.6,93.7,99.2,50.0,50.0,9:45,7:10,6,7,-3.4,76,67.1
5,Andrew Agozzino\agozzan01,24,COL,LW,1,8,14,36.4,-11.8,7,9,43.8,-4.4,20.0,100.0,120.0,50.0,50.0,9:45,9:45,1,0,0.0,2,50.0
6,Jason Akeson\akesoja01,24,PHI,RW,13,71,114,38.4,-9.5,53,82,39.3,-9.1,2.6,96.9,99.4,50.0,50.0,8:03,7:49,1,3,-2.1,20,45.0
7,Bryan Allen\allenbr01,34,TOT,D,11,157,137,53.4,-2.2,109,103,51.4,-2.5,7.7,90.3,98.0,45.2,54.8,15:43,13:46,0,8,0.8,30,20.0
8,Conor Allen\allenco01,25,NYR,D,4,49,36,57.6,11.1,31,27,53.4,5.8,4.3,90.5,94.8,67.7,32.3,12:12,11:57,0,3,0.6,4,50.0
9,Mark Alt\altma01,23,PHI,D,1,12,5,70.6,40.5,7,4,63.6,40.0,0.0,75.0,75.0,50.0,50.0,9:25,9:25,0,0,-0.4,6,0.0
10,Karl Alzner\alzneka01,26,WSH,D,82,1239,1204,50.7,-0.9,883,862,50.6,-1.4,8.7,93.2,101.9,49.5,50.5,19:26,17:06,15,35,4.7,171,42.7
11,Josh Anderson\anderjo05,20,CBJ,RW,6,74,71,51.0,2.2,50,58,46.3,-2.2,7.1,90.5,97.6,46.5,53.5,13:27,13:26,3,3,-1.2,19,52.6
12,Joakim Andersson\anderjo03,25,DET,C,68,434,556,43.8,-11.8,325,411,44.2,-9.8,6.0,93.5,99.5,38.8,61.2,11:38,9:21,8,13,-8.6,103,71.8
13,Andy Andreoff\andrean01,23,LAK,C,18,124,139,47.1,-7.1,90,109,45.2,-7.7,4.8,97.3,102.1,59.4,40.6,8:33,8:28,7,4,-1.6,28,50.0
14,Sven Andrighetto\andrisv01,21,MTL,RW,12,67,81,45.3,1.2,52,63,45.2,0.3,12.5,92.9,105.4,60.4,39.6,9:25,7:52,1,2,-0.8,21,57.1
15,Mike Angelidis\angelmi01,29,TBL,LW,3,16,14,53.3,3.8,10,12,45.5,-1.4,0.0,100.0,100.0,75.0,25.0,7:21,7:18,0,0,-0.2,0,
16,Artem Anisimov\anisiar01,26,CBJ,C,52,608,586,50.9,3.2,459,449,50.6,3.0,9.0,89.3,98.3,44.7,55.3,16:22,12:45,24,21,-1.8,175,50.3
17,Mark Arcobello\arcobma01,26,TOT,C,77,988,907,52.1,2.6,730,693,51.3,2.1,7.1,91.2,98.3,60.2,39.8,14:48,13:16,39,43,-6.0,243,53.1
18,Joel Armia\armiajo01,21,BUF,RW,1,4,11,26.7,-0.9,4,9,30.8,0.8,0.0,100.0,100.0,40.0,60.0,14:47,14:47,0,0,-0.4,0,
19,Viktor Arvidsson\arvidvi01,21,NSH,LW,6,50,55,47.6,-4.1,38,36,51.4,-0.5,4.0,96.3,100.3,54.0,46.0,10:15,10:15,3,3,-1.0,18,50.0
20,Carter Ashton\ashtoca01,23,TOR,RW,7,28,43,39.4,-1.8,22,31,41.5,0.9,0.0,88.0,88.0,41.7,58.3,6:13,6:09,2,1,-0.3,7,57.1
21,Cam Atkinson\atkinca01,25,CBJ,RW,78,1009,1062,48.7,1.7,758,815,48.2,1.4,7.3,93.0,100.3,50.1,49.9,16:59,13:38,40,22,-5.4,337,62.9
22,Keith Aulie\aulieke01,25,EDM,D,31,345,447,43.6,-5.3,252,327,43.5,-4.8,10.1,90.2,100.3,44.4,55.6,14:18,13:35,4,12,-4.6,59,42.4
23,David Backes\backeda01,30,STL,C,80,1085,1078,50.2,-2.7,836,747,52.8,-0.6,10.3,90.4,100.8,42.3,57.7,18:38,14:25,38,29,6.6,301,60.5
24,Mikael Backlund\backlmi01,25,CGY,C,52,654,767,46.0,2.3,474,511,48.1,3.4,10.5,91.3,101.8,39.1,60.9,17:45,14:24,58,42,0.1,194,53.6
25,Nicklas Backstrom\backsni02,27,WSH,C,82,1417,1235,53.4,3.2,1044,890,54.0,3.8,8.9,90.8,99.6,55.7,44.3,20:32,16:20,55,35,4.6,282,53.9
26,Sven Baertschi\baertsv01,22,TOT,LW,18,130,166,43.9,-1.2,89,114,43.8,-3.9,10.8,87.3,98.1,48.9,51.1,9:41,9:25,7,5,-2.8,24,62.5
27,Casey Bailey\baileca01,23,TOR,C,6,42,40,51.2,7.1,35,30,53.8,8.4,7.1,95.0,102.1,57.1,42.9,9:02,8:55,1,1,0.9,11,81.8
28,Josh Bailey\bailejo01,25,NYI,LW,70,1155,1019,53.1,0.2,836,711,54.0,-0.5,8.9,90.3,99.2,64.4,35.6,16:47,14:48,53,47,14.4,261,53.6
29,Keith Ballard\ballake01,32,MIN,D,14,126,160,44.1,-12.1,91,116,44.0,-13.0,12.3,87.4,99.7,48.4,51.6,12:03,11:18,2,5,-1.4,10,50.0
30,Mark Barberio\barbema01,24,TBL,D,52,777,697,52.7,1.2,571,527,52.0,0.9,6.7,91.5,98.2,54.4,45.6,16:47,15:56,13,20,4.6,122,43.4
31,Aleksander Barkov\barkoal01,19,FLA,C,71,954,851,52.9,2.7,705,647,52.1,2.2,7.5,91.4,98.9,49.0,51.0,17:30,14:49,42,27,3.7,199,61.8
32,Tyson Barrie\barrity01,23,COL,D,80,1257,1473,46.0,3.4,920,1057,46.5,2.9,11.2,90.3,101.4,50.8,49.2,21:22,18:02,40,47,-2.4,312,44.6
33,Matt Bartkowski\bartkma01,26,BOS,D,47,620,614,50.2,-3.1,478,488,49.5,-2.2,6.6,91.9,98.5,49.6,50.4,16:56,15:33,6,25,1.7,143,46.9
34,Victor Bartley\bartlvi01,26,NSH,D,37,435,449,49.2,-3.2,335,330,50.4,-1.8,8.8,91.6,100.5,58.5,41.5,13:26,12:50,2,9,-2.1,65,43.1
35,Kyle Baun\baunky01,22,CHI,RW,3,29,26,52.7,-1.0,19,17,52.8,4.9,0.0,92.3,92.3,71.4,28.6,12:32,12:32,1,0,-0.4,8,50.0
36,Jay Beagle\beaglja01,29,WSH,RW,62,574,597,49.0,-2.6,417,419,49.9,-1.7,9.8,92.1,101.9,44.4,55.6,12:49,10:47,30,6,2.7,126,66.7
37,Francois Beauchemin\beaucfr01,34,ANA,D,64,1112,1112,50.0,-1.5,835,835,50.0,-2.3,9.9,93.8,103.6,48.4,51.6,22:44,18:46,18,40,-0.8,213,51.6
38,Nathan Beaulieu\beaulna01,22,MTL,D,64,843,902,48.3,0.2,622,635,49.5,1.0,6.3,94.9,101.2,49.6,50.4,15:42,14:42,8,47,1.9,147,42.2
39,Taylor Beck\beckta01,23,NSH,LW,62,521,601,46.4,-7.5,384,451,46.0,-8.5,6.5,93.2,99.7,29.4,70.6,11:56,10:49,15,10,-3.6,143,54.5
40,Matt Beleskey\belesma01,26,ANA,LW,65,814,707,53.5,4.0,600,528,53.2,3.1,11.0,92.2,103.3,52.1,47.9,14:29,12:31,9,32,6.4,313,46.3
41,Pierre-Edouard Bellemare\bellepi01,29,PHI,LW,81,705,819,46.3,-4.1,525,573,47.8,-1.7,6.9,92.7,99.6,48.5,51.5,12:50,10:41,32,19,0.0,204,55.4
42,Brett Bellemore\bellebr01,26,CAR,D,49,602,649,48.1,-3.8,463,472,49.5,-2.5,7.9,92.8,100.7,44.9,55.1,16:23,15:08,9,28,-4.2,62,41.9
43,Jamie Benn\bennja01,25,DAL,LW,82,1375,1160,54.2,3.2,1001,882,53.2,1.4,10.9,88.3,99.2,54.6,45.4,19:57,14:54,76,50,3.6,466,54.3
44,Jordie Benn\bennjo01,27,DAL,D,73,1148,985,53.8,2.8,837,707,54.2,3.3,8.2,89.4,97.7,49.2,50.8,18:03,15:33,16,44,8.8,185,37.8
45,Beau Bennett\bennebe01,23,PIT,RW,49,527,466,53.1,-0.9,392,325,54.7,1.3,6.8,91.4,98.2,50.3,49.7,12:29,11:43,9,17,1.5,145,55.9
46,Sam Bennett\bennesa01,18,CGY,C,1,9,6,60.0,,7,4,63.6,,16.7,50.0,66.7,71.4,28.6,16:00,15:06,2,0,0.0,6,33.3
47,Andre Benoit\benoian01,31,BUF,D,59,639,1097,36.8,-0.7,475,802,37.2,-2.2,7.4,92.1,99.6,40.9,59.1,18:04,15:27,10,20,-15.9,106,42.5
48,Sean Bergenheim\bergese01,30,TOT,LW,56,641,565,53.2,2.0,506,439,53.5,2.3,7.0,91.6,98.6,49.2,50.8,13:07,12:29,34,10,4.0,187,57.8
49,Patrice Bergeron\bergepa01,29,BOS,C,81,1275,890,58.9,9.6,927,673,57.9,9.8,7.1,89.5,96.6,43.8,56.2,18:08,13:57,48,29,21.5,428,54.7
50,Patrik Berglund\berglpa01,26,STL,C,77,931,778,54.5,3.3,716,577,55.4,2.9,7.3,91.0,98.2,46.2,53.8,14:34,12:56,36,13,6.8,230,62.2
51,Steve Bernier\bernist01,29,NJD,RW,67,623,692,47.4,1.1,458,509,47.4,1.7,9.8,92.6,102.4,51.2,48.8,12:56,11:36,17,14,-6.1,165,67.3
52,Stu Bickel\bickest01,28,MIN,D,9,29,50,36.7,-8.6,23,32,41.8,-4.9,10.5,94.7,105.3,48.3,51.7,5:26,5:26,1,2,0.1,5,60.0
53,Bryan Bickell\bickebr01,28,CHI,LW,80,922,775,54.3,0.5,659,588,52.8,-0.2,6.8,93.8,100.6,70.2,29.8,12:05,11:19,26,20,6.4,195,57.9
54,Alex Biega\biegaal01,26,VAN,D,7,73,99,42.4,-6.9,58,78,42.6,-7.8,12.2,88.1,100.3,50.7,49.3,15:48,15:19,1,3,-3.4,19,36.8
55,Danny Biega\biegada01,23,CAR,D,10,160,124,56.3,-0.1,123,97,55.9,1.3,5.7,85.9,91.6,57.8,42.2,16:09,16:03,1,7,0.4,25,28.0
56,Kevin Bieksa\biekske01,33,VAN,D,60,978,1057,48.1,-1.9,734,777,48.6,-3.0,9.4,91.1,100.5,49.7,50.3,20:50,17:20,19,64,-3.1,206,48.1
57,Anthony Bitetto\bitetan01,24,NSH,D,7,71,79,47.3,-5.7,54,61,47.0,-5.3,2.6,94.9,97.4,60.9,39.1,11:47,11:43,1,3,0.2,7,28.6
58,Nick Bjugstad\bjugsni01,22,FLA,C,72,917,877,51.1,0.0,701,661,51.5,0.8,7.4,91.4,98.8,52.8,47.2,16:35,13:40,23,28,8.0,325,63.7
59,Jesse Blacker\blackje01,23,ANA,D,1,2,11,15.4,-29.9,2,9,18.2,-26.5,0.0,71.4,71.4,50.0,50.0,6:03,6:03,0,0,-0.8,0,
60,Jonathon Blum\blumjo02,26,MIN,D,4,31,29,51.7,-7.7,24,23,51.1,-9.4,5.6,81.0,86.5,50.0,50.0,9:52,9:33,0,1,-0.5,4,75.0
61,Mike Blunden\blundmi01,28,TBL,RW,2,12,15,44.4,-13.7,9,12,42.9,-11.4,0.0,87.5,87.5,50.0,50.0,9:47,9:47,0,0,-0.6,1,0.0
62,Troy Bodie\bodietr01,30,TOR,RW,5,24,24,50.0,2.2,16,20,44.4,-2.0,0.0,100.0,100.0,57.1,42.9,4:37,4:37,0,0,0.2,2,50.0
63,Mikkel Boedker\boedkmi01,25,ARI,LW,45,585,634,48.0,-1.7,415,486,46.1,-3.4,7.9,90.4,98.3,59.4,40.6,17:29,14:33,24,14,-8.9,150,52.7
