Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
1,Justin Abdelkader\abdelju01,20,DET,LW,2,19,18,51.4,-10.2,18,17,51.4,-11.6,7.7,90.9,98.6,60.0,40.0,12:13,11:31,1,0,8,75.0
2,Craig Adams\adamscr01,30,TOT,RW,75,446,550,44.8,-9.2,340,408,45.5,-8.7,4.7,89.5,94.2,51.0,49.0,10:48,8:10,22,9,110,57.3
3,Kevyn Adams\adamske01,33,CHI,C,27,132,162,44.9,-7.8,104,128,44.8,-7.3,2.5,89.0,91.5,40.0,60.0,10:35,7:37,9,3,43,74.4
4,Maxim Afinogenov\afinoma01,28,BUF,RW,56,699,562,55.4,8.2,523,420,55.5,6.8,7.8,86.4,94.2,53.8,46.2,15:55,12:43,17,42,215,52.6
5,Andrew Alberts\alberan01,26,BOS,D,35,472,532,47.0,1.6,371,408,47.6,4.7,7.7,94.5,102.2,44.3,55.7,20:37,17:34,5,15,62,40.3
6,Daniel Alfredsson\alfreda01,35,OTT,RW,70,1077,937,53.5,2.9,788,746,51.4,0.1,11.5,89.6,101.1,60.1,39.9,22:14,15:11,72,60,366,58.7
7,Bobby Allen\allenbo01,29,BOS,D,19,125,120,51.0,-4.4,93,102,47.7,-6.2,2.9,94.8,97.7,46.2,53.8,9:53,8:50,0,5,18,55.6
8,Bryan Allen\allenbr01,27,FLA,D,73,1094,1201,47.7,-5.5,850,955,47.1,-5.4,8.3,93.3,101.7,48.3,51.7,21:17,17:11,27,25,164,40.9
9,Nik Antropov\antroni01,27,TOR,C,72,987,955,50.8,-3.1,768,717,51.7,-2.1,10.0,90.6,100.6,53.4,46.6,20:03,13:54,30,53,297,55.6
10,Colby Armstrong\armstco01,25,TOT,RW,72,787,874,47.4,4.3,617,671,47.9,3.9,10.4,92.4,102.8,39.0,61.0,16:03,12:30,42,13,183,61.7
11,Derek Armstrong\armstde01,34,LAK,C,77,865,784,52.5,7.1,665,595,52.8,7.5,8.8,91.2,100.0,51.1,48.9,13:17,11:33,19,43,191,61.8
12,Tyler Arnason\arnasty01,28,COL,C,70,764,702,52.1,2.8,609,514,54.2,3.4,6.6,91.6,98.1,54.9,45.1,15:16,12:42,61,41,265,67.5
13,Jason Arnott\arnotja01,33,NSH,C,79,1113,946,54.1,5.1,870,750,53.7,4.9,11.3,91.5,102.8,50.6,49.4,18:59,14:17,50,30,411,60.3
14,Arron Asham\ashamar01,29,NJD,RW,77,447,440,50.4,-4.5,341,347,49.6,-5.2,5.0,92.6,97.6,53.8,46.2,8:33,7:35,21,18,101,67.3
15,Adrian Aucoin\aucoiad01,34,CGY,D,76,985,869,53.1,-1.6,743,715,51.0,-2.2,9.3,93.7,103.0,59.4,40.6,20:56,14:45,35,35,294,41.2
16,Keith Aucoin\aucoike01,29,CAR,RW,38,466,317,59.5,5.9,358,243,59.6,5.5,6.7,91.7,98.4,50.2,49.8,13:28,11:02,22,7,118,55.1
