Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
1,Justin Abdelkader\abdelju01,28,DET,LW,82,986,995,49.8,-2.9,735,782,48.5,-2.7,7.8,90.5,98.3,58.7,41.3,18:26,13:53,23,29,-3.0,239,64.9
2,Noel Acciari\acciano01,24,BOS,C,19,138,136,50.4,-3.0,108,95,53.2,0.5,4.4,88.4,92.9,61.0,39.0,9:54,8:31,1,4,2.2,28,64.3
3,Kenny Agostino\agostke01,23,CGY,LW,2,23,19,54.8,9.7,17,16,51.5,7.8,0.0,84.6,84.6,31.3,68.8,13:33,12:12,2,5,0.2,3,100.0
4,Andrew Agozzino\agozzan01,25,COL,LW,9,59,73,44.7,1.0,40,48,45.5,2.7,3.3,94.1,97.5,45.9,54.1,8:34,8:19,0,1,-0.5,11,27.3
5,Karl Alzner\alzneka01,27,WSH,D,82,1330,1397,48.8,-3.1,991,991,50.0,-1.8,8.1,93.5,101.6,41.9,58.1,21:23,18:28,24,41,0.5,185,40.5
6,Josh Anderson\anderjo05,21,CBJ,RW,12,95,125,43.2,-3.5,70,96,42.2,-5.4,9.6,92.5,102.2,37.5,62.5,10:42,10:37,4,1,-2.8,22,50.0
7,Joakim Andersson\anderjo03,26,DET,C,29,160,170,48.5,-2.7,125,135,48.1,-1.2,6.1,96.0,102.1,46.6,53.4,9:01,7:09,1,0,-0.6,30,56.7
8,Andy Andreoff\andrean01,24,LAK,LW,60,479,474,50.3,-6.6,356,361,49.7,-6.8,6.3,94.9,101.2,58.5,41.5,8:48,8:39,12,12,-5.2,89,51.7
9,Sven Andrighetto\andrisv01,22,MTL,RW,44,561,497,53.0,3.0,418,357,53.9,4.0,8.4,92.0,100.4,64.1,35.9,14:06,12:43,9,13,0.5,131,56.5
10,Mike Angelidis\angelmi01,30,TBL,LW,4,27,24,52.9,-5.1,16,17,48.5,-5.5,16.7,100.0,116.7,41.2,58.8,9:00,8:31,1,1,-0.1,6,16.7
11,Artem Anisimov\anisiar01,27,CHI,C,77,1045,1035,50.2,-1.2,738,773,48.8,-2.2,9.9,91.7,101.5,67.1,32.9,18:05,14:27,28,14,-4.7,213,56.8
12,Josh Archibald\archijo01,23,PIT,RW,1,1,7,12.5,-53.4,0,5,0.0,-59.6,,100.0,,50.0,50.0,5:02,5:02,0,0,-0.2,1,0.0
13,Mark Arcobello\arcobma01,27,TOR,C,20,240,168,58.8,6.2,177,132,57.3,6.9,8.9,90.7,99.6,67.3,32.7,12:41,10:17,9,4,-0.8,70,61.4
14,Joel Armia\armiajo01,22,WPG,RW,43,415,399,51.0,-0.2,297,279,51.6,0.4,7.6,91.7,99.2,50.6,49.4,12:10,11:14,23,13,4.1,97,53.6
15,Viktor Arvidsson\arvidvi01,22,NSH,LW,56,683,584,53.9,2.1,503,409,55.2,2.5,5.8,90.3,96.0,51.5,48.5,12:24,11:59,15,17,2.3,228,61.0
16,Andreas Athanasiou\athanan01,21,DET,C,37,289,281,50.7,-3.7,224,234,48.9,-4.4,9.1,91.5,100.6,64.2,35.8,9:01,8:29,11,7,-2.3,85,62.4
17,Cam Atkinson\atkinca01,26,CBJ,RW,81,1076,1067,50.2,3.2,815,785,50.9,3.5,9.0,88.8,97.9,47.9,52.1,17:48,13:41,43,18,6.6,371,60.9
18,David Backes\backeda01,31,STL,C,79,1088,1043,51.1,-0.9,846,752,52.9,1.2,7.1,93.1,100.2,38.6,61.4,19:14,14:56,39,24,2.1,270,62.2
19,Mikael Backlund\backlmi01,26,CGY,C,82,1065,969,52.4,5.4,772,691,52.8,5.5,9.0,90.0,99.0,47.7,52.3,16:26,13:03,57,44,13.0,274,56.6
