Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,San Jose Sharks*,28.7,82,53,18,11,117,0.713,251,199,6,5,0.61,-0.04,5.49,152,137,87,360,24.17,51,304,83.22,12,11,12.8,14.1,2720,9.2,2228,0.911,9
2,Boston Bruins*,28.4,82,53,19,10,116,0.707,270,190,4,6,0.89,-0.06,5.61,188,129,74,313,23.64,54,306,82.35,8,7,12.5,12.8,2482,10.9,2524,0.925,7
3,Detroit Red Wings*,31.2,82,51,21,10,112,0.683,289,240,6,4,0.62,0,6.45,193,165,90,353,25.5,71,327,78.29,6,4,10,10.9,2965,9.7,2274,0.894,8
4,Washington Capitals*,27.2,82,50,24,8,108,0.659,268,240,4,5,0.27,-0.06,6.2,176,154,85,337,25.22,75,387,80.62,7,11,12.7,11.4,2747,9.8,2418,0.901,2
5,New Jersey Devils*,30.3,82,51,27,4,106,0.646,238,207,6,2,0.38,-0.05,5.43,168,138,58,307,18.89,65,324,79.94,12,4,12.9,13.1,2698,8.8,2415,0.914,7
6,Chicago Blackhawks*,25.9,82,46,24,12,104,0.634,260,209,4,7,0.6,0.01,5.72,180,139,70,363,19.28,64,330,80.61,10,6,14.1,15.2,2683,9.7,2344,0.911,6
7,Vancouver Canucks*,27.9,82,45,27,10,100,0.61,243,213,3,7,0.3,-0.02,5.56,169,139,67,357,18.77,69,371,81.4,7,5,16.5,16.3,2335,10.4,2392,0.911,10
8,Pittsburgh Penguins*,26.6,82,45,28,9,99,0.604,258,233,6,6,0.28,-0.02,5.99,189,160,62,360,17.22,60,347,82.71,7,13,13.6,14.2,2381,10.8,2484,0.906,4
9,Philadelphia Flyers*,27,82,44,27,11,99,0.604,260,232,4,6,0.28,-0.04,6,173,164,71,316,22.47,67,393,82.95,16,1,17.5,14.8,2441,10.7,2668,0.913,3
10,Calgary Flames*,28.9,82,46,30,6,98,0.598,251,246,3,2,0.07,0,6.06,184,173,61,358,17.04,58,349,83.38,6,15,15.8,15.6,2643,9.5,2441,0.899,4
11,Carolina Hurricanes*,27.9,82,45,30,7,97,0.591,236,221,3,5,0.11,-0.05,5.57,158,153,70,374,18.72,59,301,80.4,8,9,9.8,12.5,2675,8.8,2419,0.909,6
