Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,2008,David Aebischer\aebisda01,29,PHX,1,1,0,1,0,3,33,30,0.909,3,0,0.2,60,0,0,0,,,0,0,0,0
2,2008,Craig Anderson\andercr01,26,FLA,17,13,8,6,1,35,535,500,0.935,2.25,2,4.9,935,9,0.692,1,72,13.6,0,1,1,2
3,2008,Jean-Sebastien Aubin\aubinje01,30,LAK,19,12,5,6,1,44,385,341,0.886,3.19,0,1.3,828,5,0.417,4,126,-9.03,0,0,0,0
4,2008,Alex Auld\auldal01,27,TOT,32,28,12,13,5,77,827,750,0.907,2.68,3,4.9,1722,12,0.429,6,102,-1.87,0,0,0,0
4,2008,Alex Auld\auldal01,27,BOS,23,19,9,7,5,47,578,531,0.919,2.32,2,4.2,1213,10,0.526,2,90,5.51,0,0,0,0
4,2008,Alex Auld\auldal01,27,PHX,9,9,3,6,0,30,249,219,0.88,3.54,1,0.7,509,2,0.222,4,,,0,0,0,0
5,2008,Niklas Backstrom\backsni01,29,MIN,58,56,33,13,8,131,1629,1498,0.92,2.31,4,12.1,3409,33,0.589,5,89,16.98,0,0,0,2
6,2008,Chris Beckford-Tseu\beckfch01,23,STL,1,0,0,0,0,1,9,8,0.889,2.25,0,0,27,0,,0,,,0,0,0,0
7,2008,Jonathan Bernier\bernijo01,19,LAK,4,4,1,3,0,16,118,102,0.864,4.03,0,0.1,238,1,0.25,1,,,0,0,0,0
8,2008,Martin Biron\bironma01,30,PHI,62,59,30,20,9,153,1865,1712,0.918,2.59,5,13.4,3539,33,0.559,8,90,16.42,0,1,1,8
9,2008,Brian Boucher\bouchbr01,31,SJS,5,3,3,1,1,7,103,96,0.932,1.76,1,0.9,238,3,1,0,,,0,0,0,0
10,2008,Martin Brodeur*\brodema01,35,NJD,77,77,44,27,6,168,2089,1921,0.92,2.17,4,15.5,4635,50,0.649,6,89,21.77,0,4,4,6
11,2008,Ilya Bryzgalov\bryzgil01,27,TOT,64,62,28,25,6,147,1829,1682,0.92,2.44,3,13.5,3614,37,0.597,5,88,19.15,0,0,0,2
11,2008,Ilya Bryzgalov\bryzgil01,27,PHX,55,55,26,22,5,128,1621,1493,0.921,2.42,3,12.3,3167,33,0.6,4,87,19.26,0,0,0,2
11,2008,Ilya Bryzgalov\bryzgil01,27,ANA,9,7,2,3,1,19,208,189,0.909,2.55,0,1.3,447,4,0.571,1,,,0,0,0,0
12,2008,Peter Budaj\budajpe01,25,COL,35,30,16,10,4,82,849,767,0.903,2.57,0,4.7,1912,12,0.4,6,106,-4.87,0,1,1,2
13,2008,Scott Clemmensen\clemmsc01,30,TOR,3,2,1,1,0,10,62,52,0.839,3.89,0,-0.1,154,0,0,1,,,0,0,0,0
14,2008,Dan Cloutier\cloutda01,31,LAK,9,9,2,4,1,28,247,219,0.887,3.43,0,0.9,489,4,0.444,3,,,0,0,0,2
15,2008,Ty Conklin\conklty01,31,PIT,33,30,18,8,5,78,1013,935,0.923,2.51,2,7.9,1866,17,0.567,5,85,14.02,0,1,1,4
16,2008,Corey Crawford\crawfco01,23,CHI,5,3,1,2,0,8,112,104,0.929,2.14,1,0.9,224,2,0.667,0,,,0,0,0,0
17,2008,Marc Denis\denisma01,30,TBL,10,4,1,5,0,28,199,171,0.859,4.05,0,0.1,415,1,0.25,0,,,0,0,0,2
18,2008,Rick DiPietro\dipieri01,26,NYI,63,63,26,28,7,174,1779,1605,0.902,2.82,3,9.6,3707,25,0.397,11,108,-12.39,0,6,6,18
19,2008,Wade Dubielewicz\dubiewa01,29,NYI,20,17,9,9,1,51,627,576,0.919,2.7,0,4.6,1132,11,0.647,1,90,5.96,0,0,0,0
20,2008,Brian Elliott\elliobr01,22,OTT,1,1,1,0,0,1,29,28,0.966,1.01,0,0.4,60,1,1,0,,,0,0,0,0
21,2008,Dan Ellis\ellisda01,27,NSH,44,37,23,10,3,87,1147,1060,0.924,2.34,6,9.1,2229,23,0.622,8,83,17.2,0,0,0,0
