Player Photo,NHL Player,Games,Penalties,Minors,Penalty Minutes,PIM/Game,fWHR,scaled
"<a href=""http://www.espn.com/nhl/player/_/id/2501176""><img src=""../NHL/images2501176.png""></a>",Aaron Dell,25,0,0,0,0,2.225352113,0.832614736
"<a href=""http://www.espn.com/nhl/player/_/id/3041991""><img src=""../NHL/images3041991.png""></a>",Adam Erne,65,13,10,40,0.6,1.986666667,0.743310658
"<a href=""http://www.espn.com/nhl/player/_/id/2563024""><img src=""../NHL/images2563024.png""></a>",Adam Clendening,4,0,0,0,0,1.873417722,0.700938603
"<a href=""http://www.espn.com/nhl/player/_/id/3942868""><img src=""../NHL/images3942868.png""></a>",Adam Gaudette,56,8,7,18,0.3,2.213333333,0.828117914
"<a href=""http://www.espn.com/nhl/player/_/id/5074""><img src=""../NHL/images5074.png""></a>",Adam Henrique,82,12,12,24,0.3,2.234375,0.835990646
"<a href=""http://www.espn.com/nhl/player/_/id/2562610""><img src=""../NHL/images2562610.png""></a>",Adam Larsson,82,22,22,44,0.5,2.233333333,0.835600907
"<a href=""http://www.espn.com/nhl/player/_/id/2563066""><img src=""../NHL/images2563066.png""></a>",Adam Lowry,78,12,9,33,0.4,2.073529412,0.775810324
"<a href=""http://www.espn.com/nhl/player/_/id/3205""><img src=""../NHL/images3205.png""></a>",Adam McQuaid,50,18,16,42,0.8,2.109375,0.789221939
"<a href=""http://www.espn.com/nhl/player/_/id/3069621""><img src=""../NHL/images3069621.png""></a>",Adam Pelech,78,12,12,24,0.3,2.235294118,0.836334534
"<a href=""http://www.espn.com/nhl/player/_/id/3114802""><img src=""../NHL/images3114802.png""></a>",Adrian Kempe,81,20,18,50,0.6,2.157142857,0.807094266
"<a href=""http://www.espn.com/nhl/player/_/id/2563088""><img src=""../NHL/images2563088.png""></a>",Alan Quine,13,3,3,6,0.5,2.057142857,0.7696793
"<a href=""http://www.espn.com/nhl/player/_/id/3927""><img src=""../NHL/images3927.png""></a>",Alec Martinez,60,4,4,8,0.1,2.082191781,0.779051347
"<a href=""http://www.espn.com/nhl/player/_/id/3041970""><img src=""../NHL/images3041970.png""></a>",Aleksander Barkov,82,4,4,8,0.1,2.135135135,0.798860085
